Licensee Name,License Number,Licence Status,Email,Phone,WhatsApp,Skype ID,Domain Names,Full Address,Game Types
1X2 Network Malta Ltd,MGA/CRP/635/2018,Licensed,compliance@1x2network.com,99552541,99552541,,,"3, Advance Business Centre, Triq Guze Flores, Santa Venera, Svr1950, Malta",Type 1 Gaming Service
4Tune-Software Gmbh,MGA/B2B/726/2019,Cancelled,Invalid Email,,,,,"15 Reichsstrasse, Leibnitz, 8430, Austria",Type 2 Gaming Service
8Pe Ltd,MGA/B2C/976/2022,Licensed,CARLO@APECAGE.NET,27033893,27033893,,Https://Www.Platincasino.Net,"Forth Business Centre, Level 02, Suite 7 Testaferrata Street, Ta' Xbiex, Xbx1010, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
A.B. Europe Limited,MGA/B2C/315/2015,Surrendered,service@allbets.com,+35625496000,+35625496000,,,"Ewropa Business Centre, Level 3 Suite 701, Dun Karm Street, Birkirkara, Bkr9034, Malta",Type 1 Gaming Service
Ag Software Limited,MGA/B2B/147/2007,Licensed,contact@aspireglobal.com,7981 5319,7981 5319,,,"135,High Street, Sliema Slm 1548, Sliema, Slm 1548, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Agsi Malta Limited,MGA/B2B/678/2019,Licensed,Invalid Email,7027226700,7027226700,,,"Level G (Office1/1150) Quantum House, 75, Abate Rigord Street, Ta' Xbiex, Xbx 1120, Malta",Type 1 Gaming Service
Aha Bingo Limited,MGA/B2C/157/2008,Surrendered,info@ahabingo.com,+46774100040,+46774100040,,,"64A Regent House Bisazza Street, Sliema, Slm 1641, Malta","Type 1 Gaming Service, Type 3 Gaming Service"
Air Dice Services Malta Ltd,MGA/B2B/864/2021,Licensed,info@airdice.com,+358 104197490,+358 104197490,,,"64, 'Excalibur', B. Bontadini Street,, Birkirkara, Bkr 1747, Malta",Type 1 Gaming Service
Alea Malta Limited,MGA/B2B/807/2020,Licensed,compliance.mga@alea.com,21345010,21345010,,,"Nouv Mro Frank Galea Street, Zebbug, Zbg 9019, Malta",Type 1 Gaming Service
Alibaba Casino Limited,MGA/B2C/277/2014,Expired,Invalid Email,,,,,"Apartment 21, Charles Court (Suite 98) St. Lukes Road, Pieta, , Malta",
Aliquantum Gaming Limited,MGA/B2B/117/2005,Surrendered,info@aliquantum-gaming.com,0844 567 6148,0844 567 6148,,,"Apartment 4, Villanueva Building 99, Hannieqa Street, Ghaxaq, Gxq 1025, Malta",Type 1 Gaming Service
Alpha34 Limited,MGA/B2C/266/2014,Surrendered,ko@assosplay.com,+356 27133133,+356 27133133,,,"Apartment 21 Charles Court Suite 125 St. Lukes Road, Pieta, , Malta",
Altenar Software Limited,MGA/B2B/582/2018,Licensed,finance@altenar.com,27876123,27876123,,,"34, Pender Gardens Business Centre, St. Andrews Road,, St. Julians, Stj 9023, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Amgo Igaming Malta Ltd,MGA/B2C/163/2008,Cancelled,Invalid Email,,,,"Http://Www.Jetbull.Com, Http://Www.Fantasino.Com, Http://Www.Pwr.Bet, Https://Www.Dragonaraonline.Com, Https://Gigapotti.Com","Mk Business Centre, 115A Floor 2, Valley Road, Birkirkara, Bkr 9022, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Amusnet Gaming Limited,MGA/CRP/252/2013,Licensed,contacts@amusnetgaming.com,20925100,20925100,,"Https://Amusnet.It/, Https://Amusnet.Es","Quad Central Q2, Floor 6 Central Business District Triq L-Esportaturi, Birkirkara, Cbd1040, Malta",Type 1 Gaming Service
Apollo Entertainment Limited,MGA/B2C/164/2008,Licensed,Invalid Email,+35621319493,+35621319493,,Https://Www.Casinokingdom.Mt/En-Mt/,"8, Villa Seminia, Suite 2, Sir Temi Zammit Avenue,, Ta Xbiex, Xbx 1011, Malta",Type 1 Gaming Service
Apollo Soft Limited,MGA/CRP/523/2018,Licensed,info@apollogames.com,+420725743733,+420725743733,,,"Junction Business Centre 1St Floor, Lourdes Alley,, St. Julian'S, Swq 3334, Malta",Type 1 Gaming Service
Apparat Gaming Services Limited,MGA/B2B/874/2021,Licensed,contact@apparatgaming.com,+4901707316631,+4901707316631,,,"35 Strait Street, Valletta, Vlt 1434, Malta",Type 1 Gaming Service
Appricotta Limited,MGA/B2B/817/2020,Licensed,CONTACT@APPRICOTTA.COM,00000000,00000000,,,"Elite Business Centre Trejqa Ta’ Box Box, Msida, Msd1840, Malta",
Arabmillionaire Limited,MGA/B2C/425/2017,Cancelled,andre.hawit@arabmillionaire.com,,,,,"2, Spinola Road,, St. Julians, Stj3012, Malta",Type 1 Gaming Service
Arcadia Gs (Cyprus) Ltd,MGA/B2B/868/2021,Surrendered,Invalid Email,,,,,"Mykinon 12 Office 41, Nicosia, Cy-1065, Cyprus",Type 1 Gaming Service
Arrise Solutions (Malta) Limited,MGA/B2B/317/2016,Licensed,Invalid Email,,,,,"Block E, Falcon House High Street, Sliema, Slm 1544, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 3 Gaming Service"
Asap Italia Srl,MGA/B2C/380/2017,Cancelled,Invalid Email,,,,,"58 Piazza Di Villa Cerpegna, Roma Rm, 00165, Italy",Type 4 Gaming Service
Askott Entertainment (Malta) Limited,MGA/B2B/743/2019,Temporary Non Operative,Invalid Email,,,,,"97 Windsor Street, Sliema, Slm 1853, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 3 Gaming Service, Type 4 Gaming Service"
Aspire Global International Limited,MGA/CRP/148/2007,Licensed,contactus@aspireglobal.com,,,,"Https://Tangobet.Co.Uk, Https://Betfusion.Com, Https://Www.Highbet.De, Http://Www.Slotanz.De, Http://Www.Slotsnplay.Com, Http://Www.Hot7Casino.Com, Http://Www.24Spin.Com, Https://Www.Griffoncasino.Com, Http://Www.Plazaroyal.Com, Http://Regentplay.Com, Http://Www.Hopa.Com, Http://Www.Karamba.Com, Http://Www.Scratch2Cash.Com, Http://Www.Vikingslots.Com, Http://Www.Nettiarpa.Com, Http://Www.Mrmega.Com, Http://Www.Bigmoneyscratch.Com, Http://Www.Jackiejackpot.Com, Http://Www.Dealerscasino.Com, Http://Magicred.Com, Http://Www.Megascratch.Com, Http://Www.Playclub.Com, Http://Heyspin.Com, Http://Cashiopeia.Com, Http://Jaakcasino.Com, Http://Kaiserslots.Com, Http://Www.Luckland.Com, Http://Www.Luckythrillz.Com, Http://Www.Casinsi.Com, Http://Www.Nextcasino.Com, Http://Www.Casinoluck.Com, Http://Www.Wildslots.Com, Http://Www.Betfashiontv.Com, Http://Www.Toptally.Com, Http://Www.Mrplay.Com, Http://Www.Slotjerry.Com, Http://Www.Slotzo.Com, Http://Www.Avocasi.Com, Http://Mrfavorit.Com, Http://Www.Extraspel.Com, Http://Www.Betregal.Com, Http://Www.Goprocasino.Com, Http://Www.Atlanticspins.Com, Http://Www.Lanadas.Com, Https://Www.Casiplay.Com, Https://Www.Kultakaivos.Com/, Http://En.Kultakaivos.Com, Http://Www.Jambocasino.Com, Http://Www.Luckyhit.Com, Http://Www.Kingcasino.Com, Http://Www.Winnersmagic.Com, Http://Www.Slotanza.Com, Http://Www.Greenplay.Com, Http://Www.Generationvip.Com, Https://Www.Campeonuk.Com/, Https://Www.Digibet.Com/, Https://Www.Vipscasino.Com/, Http://Www.Casiplay.Com, Https://Www.Neptuneplay.Com/, Https://Www.Playfrank.Com/, Http://Www.Betiton.Com, Http://Www.Playluck.Com, Https://Www.Tradacasino.Com/, Https://Www.Queenplay.Com/, Https://Www.Agentspinner.Com/, Https://Www.Highbet.Com, Https://Www.Bettarget.Com/, Https://Slo7S.Com/, Https://Spinrio.Com/, Https://Luckster.Com/, Https://Myriadplay.Com, Https://Www.Zetbet.Com/, Https://Www.Slotsnplay.De, Https://Www.Bzeebet.Com, Https://Www.Vegasland.Com, Https://Www.Kaiserslots.De, Https://Www.Redcasino.Com, Https://Www.666Casino.Com/, Https://Www.Playhooley.Ie/, Https://Www.Spinson.Com/, Https://Www.Apuestarey.Com, Https://Bet3000Casino.Com, Https://Www.Heyspin.De/, Https://Quickspinner.Com/, Https://Www.Spinshake.Com, Https://Www.Dreamjackpot.Com/, Https://Www.Millionpot.Com","135, High Street, Sliema, Sliema, Slm 1548, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Atlantic Games Malta Limited,MGA/B2C/813/2020,Licensed,info@bingoal.com,21443068,21443068,,Http://Www.Bingoal.Com,"Office No 3 Paul Walker Block A Znuber Street, Mosta, Mst 4000, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Aureate Gaming Solutions Limited,MGA/B2C/361/2016,Cancelled,Invalid Email,,,,,"'Valletta Buildings', 2Th Floor, Suite 7, South Street, Valletta, , Malta",Type 2 Gaming Service
Authentic Gaming Malta Ltd,MGA/B2B/352/2016,Licensed,info@authenticgaming.com,99996108,99996108,,,"No 1 The Firs, Gorg Borg Olivier Str, Sliema, Slm1640, Malta",Type 1 Gaming Service
Avento Mt Limited,MGA/B2C/450/2017,Licensed,abuse@aventogroup.com,,,,Https://Aplay.Mt,"Level 4B, Ta Xbiex Business Centre Triq Testaferrata, Ta Xbiex, Xbx1403, Malta","Type 2 Gaming Service, Type 1 Gaming Service"
B2B Gaming Services (Malta) Limited,MGA/B2C/141/2007,Licensed,info@b2bgamingservices.com,+356 2010 6183,+356 2010 6183,,Https://Www.Betshop.Cl/,"170, Pater House, Level 1 (Suite A41) Psaila Street, Birkirkara, Bkr 9077, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Bayton Limited,MGA/B2C/145/2007,Licensed,info@cybergamingconsultants.com,0035621319493,0035621319493,,"Http://Www.Spinsports.Com, Http://Www.Spinpalacesports.Com, Http://Www.Spincasino.Com","9, Empire Stadium Street,, Gzira, Gzr 1300, Malta","Type 1 Gaming Service, Type 3 Gaming Service"
Bede Gaming Malta Limited,MGA/B2B/596/2018,Licensed,Invalid Email,,,,,"The Plaza Business Centre, Level 6, Bisazza Street, Sliema, Slm 1640, Malta","Type 1 Gaming Service, Type 3 Gaming Service"
